TimeWise Resource Optimization Calculator,,,,,,,,
"TOOL 1: Linking Students, Class Size, Sections, & FTE",,,,,,,,
,,,,,,,,
# Students,Class Size,Sections,7 out of 8,6 out of 7,5 out of 6,4 out of 5,6 out of 8 (3 of 4),5 out of 7
,,,FTEs Needed,FTEs Needed,FTEs Needed,FTEs Needed,FTEs Needed,FTEs Needed
956,35,27,31.2,31.9,32.8,34.1,36.4,38.2
956,34,28,32.1,32.8,33.7,35.1,37.5,39.4
956,33,29,33.1,33.8,34.8,36.2,38.6,40.6
956,32,30,34.1,34.9,35.9,37.3,39.8,41.8
956,31,31,35.2,36.0,37.0,38.5,41.1,43.2
956,30,32,36.4,37.2,38.2,39.8,42.5,44.6
956,29,33,37.7,38.5,39.6,41.2,44.0,46.2
956,28,34,39.0,39.8,41.0,42.7,45.5,47.8
956,27,35,40.5,41.3,42.5,44.3,47.2,49.6
956,26,37,42.0,42.9,44.1,46.0,49.0,51.5
956,25,38,43.7,44.6,45.9,47.8,51.0,53.5
956,24,40,45.5,46.5,47.8,49.8,53.1,55.8
956,23,42,47.5,48.5,49.9,52.0,55.4,58.2
956,22,43,49.7,50.7,52.1,54.3,57.9,60.8
956,21,46,52.0,53.1,54.6,56.9,60.7,63.7
956,20,48,54.6,55.8,57.4,59.8,63.7,66.9
956,19,50,57.5,58.7,60.4,62.9,67.1,70.4
956,18,53,60.7,62.0,63.7,66.4,70.8,74.4
956,17,56,64.3,65.6,67.5,70.3,75.0,78.7
956,16,60,68.3,69.7,71.7,74.7,79.7,83.7
956,15,64,72.8,74.4,76.5,79.7,85.0,89.2
956,14,68,78.0,79.7,81.9,85.4,91.0,95.6
,,,,,,,,
Percent of Teaching Time,,,87.5%,85.7%,83.3%,80.0%,75.0%,71.4%
,,,,,,,,
,,,,,,,,
